tp6,pred_0,pred_1
0.99694866,-1.1280531,2.2882059
1.3635374,-0.13333781,2.176437
,-1.2351893,2.3250387
1.1346227,-1.4715979,2.3327978
0.19062036,-0.53570765,2.2876887
0.74668795,-1.5442377,2.1908908
-0.67334455,-0.99582607,2.046311
0.19062036,-2.0619953,2.1874666
-0.8915981,-1.9934735,2.1125438
-1.171183,-1.039971,1.965578
-1.5606477,-2.6330729,2.0841553
-0.67334455,-2.4861608,1.8568598
-4.6051702,-3.3279445,1.8971902
-4.6051702,-3.6873436,1.7172055
-1.171183,-3.0325403,1.5715694
-4.6051702,-4.2977877,0.6311961
-4.6051702,-3.8316414,1.2992997
1.166271,-0.1566448,2.429042
1.068153,-0.21185805,2.6849792
1.2837077,-0.099704444,2.477408
1.8733394,-0.1964648,2.2293284
,-0.4460872,2.765298
1.4374627,0.008709971,2.2884655
0.87962675,-0.32152122,2.4083037
-0.21072103,-0.19078876,2.593735
-0.21072103,-0.48046845,2.435557
-0.8915981,-0.5409087,2.520422
-2.207275,-0.71584725,2.1955454
-0.67334455,-1.2530568,2.3540363
-0.21072103,-1.6586301,1.866591
-4.6051702,-4.254915,0.9224389
-4.6051702,-4.606025,0.108626224
-4.6051702,-4.6001387,0.14494587
-4.6051702,-4.6015596,0.123735644
-4.6051702,-4.3446465,0.8874108
-4.6051702,-4.7444997,0.30231488
-4.6051702,-3.272945,1.4218062
-4.6051702,-3.5510974,1.2784941
,-4.525808,0.12071155
-4.6051702,-4.6142063,0.23826854
-4.6051702,-4.577984,0.104166426
-4.6051702,-4.553586,0.10266652
,-4.6320615,0.43418792
-4.6051702,-4.8235035,0.32443762
-4.6051702,-4.5538807,0.10194357
-4.6051702,-4.696693,0.7976908
-4.6051702,-4.5933256,0.11317388
-4.6051702,-4.550847,0.1038933
-4.6051702,-4.936075,0.49335563
-4.6051702,-4.542004,0.105548665
-4.6051702,-4.497261,0.09745075
-4.6051702,-4.6304502,0.3537203
-4.6051702,-4.6319075,0.099297255
-4.6051702,-4.2964764,0.9404096
-4.6051702,-4.5982933,0.112143956
-4.6051702,-4.5142136,0.11594757
-4.6051702,-4.549935,0.09999068
-4.6051702,-4.7393227,0.24327
-4.6051702,-4.5726976,0.74601877
-4.6051702,-4.8155956,0.6081423
-4.6051702,-4.4886546,0.10123184
-4.6051702,-4.499784,0.10374476
-4.6051702,-4.5515256,0.0908275
-4.6051702,-3.9143627,1.2174639
-4.6051702,-4.471032,0.11720678
-4.6051702,-4.558854,0.08196191
-4.6051702,-4.4285836,0.52462965
-4.6051702,-4.7677,0.26957312
-4.6051702,-4.645471,0.1135228
-4.6051702,-4.60569,0.094139166
-4.6051702,-4.5677567,0.095047295
-4.6051702,-4.5985193,0.09331321
-4.6051702,-4.366751,0.8055754
,-4.02033,1.1577654
-4.6051702,-4.803364,0.21462046
,-4.4852686,0.113054626
-4.6051702,-4.516755,0.17622912
-4.6051702,-4.5619497,0.08115721
-4.6051702,-4.359634,0.39750767
-4.6051702,-4.502594,0.8055471
-4.6051702,-4.5021143,0.13139418
-1.5606477,-0.83277714,2.3332915
-0.4942963,-0.8607308,2.364189
0.59332687,-0.36422446,2.3659697
-4.6051702,-0.34957647,2.36839
1.10194,-0.3548624,2.6153216
0.6981347,0.083032414,2.3988986
1.5062971,-0.43520647,2.688598
0.47623417,-0.77448267,2.9287004
0.27002713,-0.8129654,3.0434637
0.104360014,-0.34638488,2.8336291
-0.09431068,-0.0850559,2.5100393
0.6981347,-0.87138116,3.040707
0.0099503305,-0.70392704,2.9752407
0.64710325,0.016713757,2.3079705
0.6981347,-0.18444665,2.3479033
0.0099503305,-0.6029829,2.8408704
0.3435897,-0.44192997,2.704736
0.0099503305,-0.4398347,2.8064559
-0.67334455,-0.59016544,2.8181562
0.0099503305,-0.6885343,2.2134223
0.6981347,-0.7574891,2.1126187
-1.5606477,-1.0738822,2.5781395
-0.34249032,-1.0543395,2.4095252
0.0099503305,-0.74725044,2.5921066
1.2837077,-1.2044288,1.8744212
0.0099503305,-2.1865585,2.0422852
-0.21072103,-2.4445415,2.0257251
0.0099503305,-2.6570506,1.8450061
-2.207275,-2.8443594,1.5923911
0.3435897,-0.49423885,2.279245
0.0099503305,-0.108206764,2.3527727
0.79299253,0.054664586,2.277999
0.19062036,-2.8597927,1.4695082
-4.6051702,-4.470996,0.13072114
0.47623417,-1.8565392,2.2153368
-4.6051702,-4.610554,0.10937695
-4.6051702,-3.024062,2.2095044
-4.6051702,-4.5201187,0.11276156
-4.6051702,-4.5378356,0.10545837
-4.6051702,-4.452017,0.11863258
-4.6051702,-4.489932,0.122749485
0.53649336,0.09207447,1.8614897
0.87962675,0.31760904,1.6723409
,0.04987051,1.9101338
-0.09431068,0.04113849,1.9720547
-0.67334455,-0.08399762,1.9157618
-0.09431068,-0.22122453,1.78606
-0.67334455,0.17966963,1.6828357
-0.4942963,-0.020723205,1.9124304
-4.6051702,0.040204454,1.7349558
-2.207275,-0.065601066,1.7928028
-2.207275,-0.08345397,1.9679748
-4.6051702,-0.36409423,1.7148111
-4.6051702,-0.6147395,1.847956
-4.6051702,-0.3918779,1.9959157
-1.5606477,-1.0548097,1.6669434
-4.6051702,-0.8704997,1.9447343
-4.6051702,-1.4494903,1.7540867
0.53649336,-0.053847354,1.9569545
0.64710325,-0.15926461,2.2793975
