tp6,pred_0,pred_1,pred_2
0.99694866,0.28715506,1.144414,0.26155216
1.3635374,0.98870915,0.9719729,0.21540798
,0.08232068,1.1916608,0.29655045
1.1346227,-0.05423157,1.2323779,0.3631876
0.19062036,0.8372024,0.98427635,0.2382464
0.74668795,-0.064094,1.2697263,0.44513315
-0.67334455,0.27387145,1.1681371,0.34950653
0.19062036,-0.25435477,1.2533705,0.4797429
-0.8915981,-0.03783042,1.3101754,0.4377582
-1.171183,0.46854407,1.0992916,0.30274493
-1.5606477,-0.61987203,1.2841446,0.6112712
-0.67334455,-0.5370612,1.3246746,0.56508183
-4.6051702,-0.7767686,1.3827794,0.6964423
-4.6051702,-0.7163737,1.2988201,0.675024
-1.171183,-0.72276133,1.3470535,0.6511493
-4.6051702,-0.9015428,1.1881092,0.8394598
-4.6051702,-0.76862764,1.3097687,0.753621
1.166271,1.063862,0.88990366,0.16183393
1.068153,1.0923072,0.8988592,0.19472174
1.2837077,1.0881497,0.8964134,0.16029266
1.8733394,0.78816015,1.0127938,0.22651015
,1.1050702,0.9473968,0.2938669
1.4374627,1.1494343,0.8956809,0.1575897
0.87962675,1.0854417,0.9258894,0.21942133
-0.21072103,1.024405,0.940468,0.25036642
-0.21072103,1.0158335,0.94973785,0.2500928
-0.8915981,0.94938046,0.9639804,0.27934003
-2.207275,0.8655109,0.96764773,0.2581911
-0.67334455,0.67310435,1.0562432,0.33801833
-0.21072103,0.15346405,1.2192072,0.3582614
-4.6051702,-1.0214643,1.3065455,0.78764135
-4.6051702,-1.5079048,0.56676525,0.9966202
-4.6051702,-1.4737494,0.63359827,0.9931786
-4.6051702,-1.5040814,0.6427367,0.9942673
-4.6051702,-1.0325276,1.274399,0.8272266
-4.6051702,-1.3348581,0.79249847,0.97977006
-4.6051702,-0.76191163,1.3544312,0.68080413
-4.6051702,-0.7961876,1.3520398,0.70819664
,-1.4827943,0.7870683,0.98247325
-4.6051702,-1.3918681,0.63606036,0.98493344
-4.6051702,-1.6403826,0.7144009,0.990003
-4.6051702,-1.688124,0.6543034,0.99368405
,-1.3147652,0.76736015,0.9755917
-4.6051702,-1.4703447,0.6668679,0.98947537
-4.6051702,-1.5454816,0.5420932,0.9967843
-4.6051702,-1.1487455,1.1088086,0.9252507
-4.6051702,-1.4696724,0.5924281,0.99516207
-4.6051702,-1.6173928,0.5304017,0.9968257
-4.6051702,-1.3569096,0.8752196,0.96946543
-4.6051702,-1.6479473,0.5712088,0.99687284
-4.6051702,-1.5628763,0.5455282,0.9959235
-4.6051702,-1.3385818,0.7986053,0.9729724
-4.6051702,-1.5940361,0.6012227,0.99442697
-4.6051702,-1.0805799,1.2250286,0.86234826
-4.6051702,-1.4862864,0.5821219,0.99494475
-4.6051702,-1.5051132,0.73481584,0.986046
-4.6051702,-1.5253472,0.5605852,0.9964334
-4.6051702,-1.4265819,0.7070427,0.98783094
-4.6051702,-1.3052475,0.9892326,0.9447476
-4.6051702,-1.4092438,0.861226,0.96759236
-4.6051702,-1.5510678,0.56286067,0.99585885
-4.6051702,-1.692836,0.632308,0.99355537
-4.6051702,-1.6969166,0.61924577,0.9942194
-4.6051702,-0.9479682,1.3116099,0.7629878
-4.6051702,-1.6171043,0.52630174,0.99762183
-4.6051702,-1.6968385,0.57469183,0.99531746
-4.6051702,-1.1652374,1.2040535,0.8716096
-4.6051702,-1.4709182,0.6568078,0.9907879
-4.6051702,-1.5082084,0.5946464,0.9957942
-4.6051702,-1.6768645,0.65396535,0.9930201
-4.6051702,-1.6282852,0.60366106,0.993986
-4.6051702,-1.583302,0.6322299,0.9937059
-4.6051702,-1.0036894,1.2514867,0.818482
,-0.922185,1.3363626,0.74368465
-4.6051702,-1.5406265,0.59611976,0.9936241
,-1.4894195,0.6643055,0.9904614
-4.6051702,-1.5480783,0.7900539,0.98431915
-4.6051702,-1.7281069,0.55901,0.9959115
-4.6051702,-1.0028274,1.0843525,0.8941447
-4.6051702,-1.2286673,1.1479776,0.90348977
-4.6051702,-1.6174897,0.60793614,0.99290717
-1.5606477,0.873751,1.0266223,0.1523893
-0.4942963,1.014789,0.97851557,0.17739256
0.59332687,1.0044585,0.969199,0.20316216
-4.6051702,0.95270437,0.95324093,0.242101
1.10194,1.1419464,0.8968521,0.21556182
0.6981347,1.1152663,0.9116388,0.19415952
1.5062971,1.1360221,0.9226682,0.2648864
0.47623417,1.0472732,1.0056454,0.3997939
0.27002713,1.0665064,1.0265348,0.42029873
0.104360014,1.1208386,0.9466294,0.29741484
-0.09431068,1.1029779,0.8979282,0.1896049
0.6981347,1.041224,1.0284152,0.43515852
0.0099503305,1.0821189,1.007751,0.38716862
0.64710325,1.2258767,0.91340494,0.20172596
0.6981347,1.1116414,0.8972228,0.19550818
0.0099503305,1.0426342,0.97981423,0.33325887
0.3435897,1.0439863,0.9559315,0.2861093
0.0099503305,1.0555241,0.966227,0.31250194
-0.67334455,1.0712981,0.9749631,0.32197952
0.0099503305,0.8622371,0.9792504,0.25364745
0.6981347,0.7184853,1.0647554,0.28791606
-1.5606477,0.75029844,1.0612061,0.37249365
-0.34249032,0.7128307,1.0445529,0.32932782
0.0099503305,0.91297895,0.9887852,0.31320146
1.2837077,0.57251275,1.0250953,0.28879872
0.0099503305,0.0050404146,1.2571986,0.5485382
-0.21072103,0.30481723,1.2755181,0.5901605
0.0099503305,-0.27312616,1.3110052,0.6404951
-2.207275,-0.52984446,1.325697,0.55253845
0.3435897,0.9842766,0.98952836,0.13872787
0.0099503305,1.1407855,0.8950918,0.10952709
0.79299253,1.0108811,0.92234313,0.11955767
0.19062036,-0.44499713,1.2420676,0.5207306
-4.6051702,-1.4904194,0.7418765,0.9840714
0.47623417,0.40250063,1.172982,0.22052187
-4.6051702,-1.5560292,0.7174094,0.9892274
-4.6051702,-0.6115403,1.4234164,0.6519231
-4.6051702,-1.5332131,0.5422146,0.99678016
-4.6051702,-1.7500826,0.47859466,0.9986589
-4.6051702,-1.5451702,0.5874335,0.99608994
-4.6051702,-1.6910458,0.5105646,0.9981073
0.53649336,0.85385,0.96594185,0.12477825
0.87962675,1.1303804,0.9084107,0.17334256
,0.6771879,0.98894185,0.1287216
-0.09431068,0.6474387,0.9907728,0.12991112
-0.67334455,0.84421146,0.93090105,0.18628146
-0.09431068,0.6744814,1.0105929,0.18247224
-0.67334455,0.8149475,0.9825456,0.18248497
-0.4942963,0.7332433,0.96274513,0.14412963
-4.6051702,0.946642,0.9746093,0.16824631
-2.207275,0.83500034,0.9258882,0.1732992
-2.207275,0.35517317,1.059598,0.16330908
-4.6051702,0.46155512,1.0586466,0.21975562
-4.6051702,0.1405223,1.1427133,0.28458413
-4.6051702,0.5028004,1.0032225,0.18309748
-1.5606477,0.11543695,1.1124034,0.2863673
-4.6051702,0.16899699,1.1159023,0.23787352
-4.6051702,-0.16570103,1.2035847,0.35465106
0.53649336,1.0646518,0.8775952,0.17247124
0.64710325,1.0893626,0.88092,0.19344972
0.19062036,1.0356143,0.87061715,0.16676885
1.4134231,0.95350486,0.9373654,0.2318149
,0.97453994,0.9738452,0.32420126
1.5912739,1.1838895,0.86712545,0.14497462
0.19062036,1.0578697,0.90651846,0.19370052
0.0099503305,0.6073206,1.0558481,0.3094987
-4.6051702,0.7463003,1.0037285,0.25381738
-0.4942963,0.42633808,1.1357031,0.38080263
-1.171183,0.7365791,0.99523705,0.23849887
-4.6051702,-0.26600665,1.3258876,0.55134475
-0.09431068,0.35166514,1.1028037,0.27909547
-2.207275,-1.0105255,1.317561,0.76154155
-4.6051702,-1.6581876,0.7008136,0.9943821
-4.6051702,-0.88202417,1.293457,0.69029
-4.6051702,-0.89820313,1.3195722,0.71730024
0.0099503305,-0.9010433,1.3275694,0.7055291
-4.6051702,-0.7583625,1.2355428,0.60168684
-0.8915981,-0.085304506,1.2677913,0.3752702
-0.8915981,0.10745608,1.1780767,0.34526062
,-1.4619935,1.0254505,0.96064633
-2.207275,-1.5723541,0.91023546,0.9741339
-4.6051702,-1.6301541,0.89723766,0.9815786
-4.6051702,-1.6646551,0.877437,0.98672235
,-1.335438,1.0565577,0.9434614
-2.207275,-1.506408,0.97610736,0.9698023
-4.6051702,-1.6656544,0.75221133,0.99045044
-4.6051702,-0.7726672,1.2779838,0.5535038
-4.6051702,-1.412555,0.86048377,0.978509
-4.6051702,-1.8178523,0.7119445,0.99464357
0.41210964,-1.0453598,1.2998909,0.67772734
-4.6051702,-1.6996986,0.64317894,0.99646324
-4.6051702,-1.800947,0.6542741,0.9955291
-2.207275,-1.3511766,1.0979605,0.93352103
-4.6051702,-1.6327039,0.7700951,0.98999804
-4.6051702,-0.86340386,1.3976033,0.66570824
-4.6051702,-1.5385971,0.6660913,0.9938107
-4.6051702,-1.5405923,0.916165,0.9776865
-4.6051702,-1.6759266,0.7477288,0.99201727
-4.6051702,-1.1902304,1.1349124,0.9065786
0.9202828,-0.7848402,1.3217281,0.53558594
-4.6051702,-1.0559194,1.3252333,0.76121545
-4.6051702,-1.8013976,0.6700491,0.995643
-4.6051702,-1.8263147,0.8119726,0.99173903
-4.6051702,-1.8102028,0.7998124,0.9919333
-4.6051702,-0.6263762,1.3217225,0.5265938
-4.6051702,-1.727757,0.59853774,0.99752134
-4.6051702,-1.872476,0.7028687,0.99507326
-1.171183,-1.1313239,1.2873896,0.8233492
-4.6051702,-1.0798774,1.2178335,0.83828205
-4.6051702,-1.2900082,0.9884259,0.9527636
-4.6051702,-1.8337641,0.78293216,0.99277425
-4.6051702,-1.7932831,0.7514326,0.9927584
-4.6051702,-1.778754,0.76763564,0.99299556
-1.5606477,-0.9494874,1.3095243,0.74470824
,-0.8137061,1.3284422,0.6352511
-4.6051702,-1.1717314,1.1865587,0.87896514
,-1.6340659,0.8636451,0.98557055
-4.6051702,-1.5958309,1.0363626,0.96791506
-4.6051702,-1.9738901,0.68262786,0.99609584
-4.6051702,0.14184293,1.1400383,0.23779678
-4.6051702,-0.9511586,1.327358,0.7485846
-4.6051702,-1.7542162,0.80582774,0.9895894
-0.4942963,1.1720216,0.94267124,0.1322103
-0.67334455,1.1684256,0.92004555,0.18742424
0.53649336,1.1356037,0.92514926,0.21527708
-4.6051702,1.0132561,0.92741054,0.2704642
1.10194,1.1400965,0.8839042,0.21278773
0.6981347,0.90879315,0.9582571,0.24951094
1.2837077,1.1064677,0.92066437,0.26388592
0.27002713,0.8211844,1.0869037,0.4621067
-0.21072103,0.6055859,1.1905518,0.54075414
-0.09431068,0.74371976,1.076695,0.40234485
-0.67334455,0.68646175,1.0061227,0.26232868
-0.09431068,0.7114649,1.1497543,0.52761036
-0.4942963,0.63050157,1.1705961,0.51755434
1.068153,0.92750436,1.0024668,0.27749744
0.0099503305,0.8131704,0.9781855,0.2539781
-0.21072103,0.4218342,1.1903772,0.49626055
-0.67334455,0.5600404,1.1180395,0.41110092
0.27002713,0.41380876,1.1943893,0.48633152
0.0099503305,0.2699514,1.2520199,0.5250253
0.19062036,0.49633533,1.0860965,0.32429096
1.7934247,0.66040534,1.0880071,0.32813787
-0.34249032,-0.21325779,1.3527635,0.61408806
-1.5606477,-0.17169602,1.3022472,0.51530784
0.0099503305,0.11470691,1.26645,0.49291593
0.47623417,0.26353195,1.1025144,0.3684348
-4.6051702,-0.029805817,1.2536563,0.54132557
-4.6051702,0.22118041,1.2903695,0.5775941
-2.207275,-0.10933194,1.3099682,0.57474196
-0.67334455,-0.17265534,1.2185861,0.46404356
1.166271,1.046561,0.9831707,0.14264983
0.79299253,0.57401717,1.0337989,0.17726363
-0.4942963,0.40456915,1.0982959,0.20268318
-0.4942963,-0.7960328,1.2960864,0.63394207
-4.6051702,-1.5351896,0.9598349,0.97178394
-0.21072103,0.057078756,1.239951,0.30935255
-4.6051702,-1.5667688,0.8256012,0.98486066
-4.6051702,-0.63419396,1.4134829,0.67395514
-4.6051702,-1.6497304,0.5994934,0.99712414
-4.6051702,-1.8671656,0.5104522,0.9988533
-4.6051702,-1.7373991,0.6204297,0.99713707
-4.6051702,-1.8195528,0.5179362,0.998642
-4.6051702,-1.0414808,0.97103506,0.97027683
-4.6051702,-1.0871474,1.0288395,0.96412194
,-0.94832957,0.92117125,0.9650855
-4.6051702,-0.94227856,0.91907173,0.96257234
-4.6051702,-1.0387092,0.9893448,0.9656451
-4.6051702,-1.1185887,0.9066972,0.9829003
-4.6051702,-1.127028,0.9097775,0.9823079
-4.6051702,-1.0107303,0.86399144,0.9803463
-4.6051702,-1.109685,0.9118951,0.9818388
-4.6051702,-1.2017099,0.91437,0.9838256
-4.6051702,-0.9173147,0.784524,0.9775693
-4.6051702,-1.2004735,0.83371216,0.9876288
-4.6051702,-1.2083243,0.8203729,0.9889023
-4.6051702,-1.0869267,0.8148356,0.98491794
-4.6051702,-1.1982718,0.9053654,0.98063457
-4.6051702,-0.9837147,0.8229117,0.9692227
-4.6051702,-1.2331355,0.8461055,0.98456144
-4.6051702,-0.9515539,1.0660722,0.9075419
-4.6051702,-0.9545006,1.0609307,0.9191878
-4.6051702,-0.9525166,1.0537176,0.91365904
-4.6051702,-1.0260961,1.0672122,0.93897647
,-0.98498684,1.0604461,0.94266456
-4.6051702,-1.0245202,1.0476689,0.94219434
-4.6051702,-1.0015473,0.99872154,0.9565064
-4.6051702,-1.1210928,0.98192257,0.9702959
-4.6051702,-1.0697736,0.9911038,0.96634454
-4.6051702,-1.1323867,0.9620378,0.9762422
-4.6051702,-1.1463877,0.9494028,0.9779207
-4.6051702,-1.1739726,0.95353216,0.97653735
-4.6051702,-1.2162817,0.9335013,0.9810817
-0.21072103,-1.0471681,1.232323,0.78418267
-4.6051702,-1.1447904,1.0268335,0.881924
-4.6051702,-1.0655003,0.84378076,0.92038876
-4.6051702,-0.8242807,1.0455186,0.7871087
-2.207275,-1.0324438,1.1199286,0.8584421
-4.6051702,-1.2298404,0.7889196,0.9603736
-4.6051702,-1.1571431,0.9743477,0.9692192
-4.6051702,-1.1763107,0.9786957,0.9658381
,-1.1583805,1.2736055,0.79941833
-4.6051702,-1.3112985,0.9910387,0.9547112
-4.6051702,-1.3771195,1.1775573,0.9160404
-2.207275,-1.4262979,1.0667033,0.93698484
,-1.2899463,0.9357983,0.9644253
-4.6051702,-1.3763512,0.9076121,0.9712929
-4.6051702,-1.1755445,0.94768196,0.90570587
-4.6051702,-1.3137331,0.81468415,0.98717
-4.6051702,-1.1297837,0.9251488,0.9077252
-4.6051702,-0.98906785,1.0902343,0.767471
-2.207275,-1.2092614,0.9790129,0.92311317
-4.6051702,-1.6301936,0.8135286,0.9902728
-4.6051702,-1.0092487,1.1058607,0.7811266
-4.6051702,-1.1876714,1.0826411,0.9045669
-2.207275,-1.4516653,0.9997854,0.9597753
-4.6051702,-1.305192,0.81860846,0.9818423
-4.6051702,-1.475666,0.7312803,0.9899088
-4.6051702,-1.4401629,1.0612483,0.94135964
-2.207275,-1.0155956,1.1457834,0.7765984
-2.207275,-1.4222859,0.8179583,0.9728354
-0.8915981,-1.3200719,0.8408297,0.97766894
-4.6051702,-1.262148,0.8759897,0.9657922
-2.207275,-0.56348044,1.1485329,0.48139212
-4.6051702,-1.4310079,0.9474192,0.94704187
-4.6051702,-1.4891958,0.9394109,0.9599285
-4.6051702,-1.0610471,0.9115593,0.95462686
-4.6051702,-1.5473185,0.8167219,0.9876044
-4.6051702,-1.3458328,1.068847,0.9060702
-4.6051702,-1.0559216,1.2295866,0.77683467
-4.6051702,-1.3375432,0.8289737,0.9617535
-4.6051702,-0.9157923,1.0932508,0.76729083
-4.6051702,-1.4847305,1.0950651,0.93340844
-4.6051702,-1.5277112,1.0147886,0.96013147
-4.6051702,-1.5219979,1.0241923,0.9611267
-0.67334455,-1.0305165,1.1779585,0.7779437
,-1.033281,1.1140302,0.852237
-4.6051702,-1.5368567,0.794839,0.9806219
,-0.47358295,1.0971439,0.43529093
-4.6051702,-1.3319725,1.0779204,0.92366314
-4.6051702,-1.4174936,0.9450615,0.94274235
-4.6051702,-1.0015788,0.8067891,0.9623909
-0.09431068,-1.1563023,1.0515199,0.90879256
-4.6051702,-1.3330065,1.0318295,0.92922485
-4.6051702,-0.95982426,1.1535821,0.8878246
-4.6051702,-0.9110713,1.142604,0.8893931
-4.6051702,-0.9993077,1.1370924,0.92195016
-4.6051702,-0.98107964,1.1076458,0.9112263
-4.6051702,-0.9151093,1.0804607,0.9074784
-4.6051702,-1.0048335,1.0619065,0.93315446
-4.6051702,-0.9493903,1.0826463,0.92304844
-4.6051702,-0.944334,1.0948853,0.94931376
-4.6051702,-0.9771724,1.0831543,0.9604437
-4.6051702,-1.0212183,1.0314047,0.9556279
-4.6051702,-1.0801198,1.0054476,0.95040846
-4.6051702,-0.94981754,1.1026601,0.9562413
-4.6051702,-0.99363416,1.069379,0.95977485
-4.6051702,-0.9844649,1.0702152,0.9187797
-4.6051702,-1.0437516,1.0294958,0.9355797
-4.6051702,-1.0979396,0.9931168,0.96860665
-4.6051702,-1.0898014,0.99844337,0.9610407
-4.6051702,-1.1268798,0.9860739,0.97150797
-4.6051702,-1.1381911,0.9844777,0.97245514
-4.6051702,-1.0779994,1.0187025,0.9429267
-4.6051702,-1.0343697,1.064349,0.91482913
-4.6051702,-1.1481035,0.9617445,0.9753059
-4.6051702,-1.1736219,0.9603768,0.9748054
-4.6051702,-1.1507986,0.9606953,0.9765499
-4.6051702,-0.8648929,1.147358,0.77750075
-4.6051702,-1.0662245,0.97245926,0.9550198
-4.6051702,-0.9593368,1.0314176,0.9421498
-4.6051702,-0.97986954,0.9888362,0.94108164
-0.4942963,-1.0687107,1.1435367,0.8387824
-4.6051702,-0.99782556,1.1382034,0.90801084
-4.6051702,-0.95588607,1.1122272,0.82141495
-0.8915981,-0.9985642,1.1557773,0.8181855
-4.6051702,-1.2003511,1.043756,0.89710325
-4.6051702,-1.4410083,1.0100543,0.9419653
-1.5606477,-1.1748804,0.9709262,0.952585
-4.6051702,-1.4506562,0.980573,0.9634827
-4.6051702,-1.2579336,0.9477497,0.97470707
-4.6051702,-1.5405574,0.78752583,0.9896526
-4.6051702,-1.6224089,0.7046839,0.9945418
-4.6051702,-1.5379155,0.77454984,0.9900838
-4.6051702,-1.584644,0.6257581,0.99631196
-4.6051702,-0.78296643,1.2895948,0.6926654
-4.6051702,-0.5468906,1.2779856,0.6296889
,-0.79559153,1.2444288,0.6561942
-4.6051702,-0.68555325,1.2018979,0.5842893
-2.207275,-0.5812619,1.2445242,0.6165542
-4.6051702,-0.63169754,1.2555407,0.6035746
-4.6051702,-0.62435424,1.2671776,0.60810494
-2.207275,-0.43760133,1.1712428,0.45827228
-4.6051702,-0.28403828,1.1734711,0.46300694
-4.6051702,-0.64683217,1.2614368,0.6123756
-4.6051702,-0.013388276,1.1037767,0.3058307
-4.6051702,-0.5209029,1.1824677,0.4948848
-4.6051702,-0.23543727,1.1689454,0.4129264
-4.6051702,0.1814883,1.0799673,0.2743653
-4.6051702,-0.6205084,1.198242,0.50070816
-0.8915981,0.16149902,1.0493991,0.23234881
-4.6051702,-0.34700668,1.120445,0.42505327
-4.6051702,-0.5684099,1.3002915,0.6888855
-0.8915981,-0.53097886,1.289055,0.6469539
-4.6051702,-0.49036813,1.2634566,0.61448973
-2.207275,-0.72008616,1.3980368,0.783668
,-0.4989968,1.3349928,0.697692
-4.6051702,-0.44963968,1.2634712,0.5999175
-1.5606477,-0.48585004,1.2455946,0.61225265
-1.5606477,-0.58825356,1.3080733,0.66761935
-4.6051702,-0.5786131,1.280941,0.65132403
-4.6051702,-0.6109926,1.3113313,0.6884004
-4.6051702,-0.59337175,1.2598994,0.61548704
-2.207275,-0.5147211,1.2730806,0.6074411
-4.6051702,-0.6860816,1.2503,0.597049
-0.09431068,0.05119068,1.1077878,0.3565388
-4.6051702,-0.86098474,1.2185023,0.4505432
-0.09431068,-0.616538,1.1719123,0.3368706
-1.171183,-0.6297822,1.2054249,0.35882837
-4.6051702,-0.53640074,1.1460558,0.46026006
-0.4942963,-0.28502542,1.1271284,0.27989814
-4.6051702,-0.75655264,1.2534648,0.5877847
-4.6051702,-0.729677,1.2231307,0.5503961
,-0.5824943,1.2656984,0.5532103
-4.6051702,-0.77101713,1.2631727,0.5937333
-4.6051702,-0.831477,1.3360937,0.7474354
-4.6051702,-0.85110325,1.3269578,0.73801214
,-0.73671466,1.2758224,0.60677546
-4.6051702,-0.6793482,1.2108305,0.47413984
-4.6051702,-0.9431301,1.2240462,0.5692524
-1.5606477,-0.31840032,1.1510644,0.3582152
-1.5606477,-0.7630101,1.1907198,0.38750675
-4.6051702,-0.8795734,1.2271495,0.5776814
-4.6051702,-0.39228746,1.1411455,0.33404794
1.2837077,-0.57099026,1.2760279,0.47085068
-4.6051702,-0.77833074,1.2194792,0.5333004
-4.6051702,-0.5233531,1.1204134,0.43748242
-4.6051702,-0.55799574,1.225029,0.48290643
-4.6051702,-0.75466514,1.2619928,0.55935603
-4.6051702,-0.24401793,1.2169001,0.37170014
-4.6051702,-0.85833937,1.3169225,0.76033354
-4.6051702,-0.9700747,1.2183596,0.5811567
-0.8915981,-0.4855638,1.160413,0.34233934
-4.6051702,-0.692345,1.2042575,0.46836928
-4.6051702,-0.5537924,1.1323992,0.4057796
-4.6051702,-0.7436408,1.1941247,0.45439017
-4.6051702,-0.841518,1.3036257,0.65015984
-1.5606477,-0.91528183,1.3380775,0.75956184
-2.207275,-0.54055876,1.1457494,0.44840536
2.231089,-0.65209246,1.3025391,0.5498682
-2.207275,-0.83658487,1.2999067,0.65738755
-1.171183,-0.26054442,1.1471133,0.39567322
0.79299253,-0.4390832,1.1525277,0.31722605
-4.6051702,-0.7407748,1.2005967,0.3791482
-0.8915981,-0.5706342,1.2141808,0.4598616
-4.6051702,-0.84109193,1.3433303,0.6991917
-4.6051702,-0.8201322,1.3507503,0.6968976
-4.6051702,-0.3741776,1.1014316,0.4195654
,-0.4598682,1.1340513,0.43332922
-4.6051702,-0.6986628,1.1891413,0.41689116
,-0.47456342,1.1617508,0.36641595
-4.6051702,-0.80901635,1.3209162,0.6636032
-4.6051702,-0.8725855,1.2792693,0.63761437
-0.67334455,0.037687927,1.069582,0.22883451
-4.6051702,-0.6385316,1.2252235,0.5463607
-4.6051702,-0.8899448,1.3453703,0.710155
-4.6051702,-0.5340559,1.3571303,0.6218186
-4.6051702,-0.70063645,1.4476593,0.78551626
-2.207275,-0.55711687,1.3928893,0.71305203
